                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1877,                 5.8291,                 4.1498,                 0.0001,                0.01429,                0.00178,                0.00063,                 3.0388,                 4.7014,                 3.9189,              0.0033308,              0.0033308,              0.0033308
                      2,                 2.4926,                 5.5231,                 3.2228,                 0.0022,                 0.2881,                0.02817,                0.01006,                 2.1851,                 4.4879,                 2.9401,              0.0066575,              0.0066575,              0.0066575
                      3,                 1.8361,                 4.8629,                 2.3788,                0.00583,                0.46976,                0.03597,                0.01526,                  2.141,                 4.2924,                 2.7295,              0.0099776,              0.0099776,              0.0099776
                      4,                 1.7006,                 4.4677,                 2.1627,                0.79357,                0.07767,                  0.086,                0.04494,                 2.0182,                 4.0703,                 2.5781,              0.0099703,              0.0099703,              0.0099703
                      5,                 1.6354,                 4.1475,                 2.0534,                0.78009,                0.08149,                0.13616,                0.08324,                 1.9528,                 3.7424,                 2.3926,              0.0099703,              0.0099703,              0.0099703
                      6,                 1.6087,                 3.9725,                  1.998,                0.64054,                0.07722,                0.14869,                0.09718,                 1.8467,                 3.6446,                 2.3612,              0.0099604,              0.0099604,              0.0099604
                      7,                 1.5742,                 3.8562,                 1.9623,                0.61283,                0.16225,                0.18537,                0.10599,                 1.9054,                 3.6564,                 2.3902,              0.0099505,              0.0099505,              0.0099505
                      8,                 1.5381,                 3.7583,                 1.9277,                0.55817,                0.17339,                0.23252,                0.13821,                 1.8798,                 3.3976,                 2.3564,              0.0099406,              0.0099406,              0.0099406
                      9,                 1.5195,                 3.7018,                 1.9095,                0.62812,                0.15053,                0.16943,                0.10671,                 1.8293,                 3.4319,                 2.2723,              0.0099307,              0.0099307,              0.0099307
                     10,                 1.5008,                 3.6444,                 1.8934,                0.57304,                0.15562,                0.17471,                0.11589,                 1.7477,                  3.346,                 2.2428,              0.0099208,              0.0099208,              0.0099208
                     11,                  1.482,                 3.6018,                 1.8785,                0.64824,                0.14461,                0.20927,                 0.1407,                 1.7231,                 3.2586,                  2.163,              0.0099109,              0.0099109,              0.0099109
