                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1168,                 5.7978,                 4.1291,                0.00031,                0.04286,                0.00045,                0.00013,                 2.7959,                 4.6281,                 3.9327,              0.0033308,              0.0033308,              0.0033308
                      2,                  2.243,                 5.4858,                 2.9628,                0.00224,                0.37976,                 0.0182,                0.00809,                 2.2403,                 4.4246,                 3.0479,              0.0066575,              0.0066575,              0.0066575
                      3,                 1.8027,                 4.9016,                 2.3657,                0.00571,                0.52619,                0.04894,                0.02583,                 2.1269,                 4.2245,                  2.838,              0.0099776,              0.0099776,              0.0099776
                      4,                 1.7083,                  4.532,                  2.212,                0.00926,                0.60952,                0.09939,                0.03747,                  2.269,                 4.0918,                 2.8629,              0.0099703,              0.0099703,              0.0099703
                      5,                 1.6574,                  4.269,                 2.1358,                0.21926,                0.29668,                0.08764,                0.04308,                 2.1706,                 3.9602,                 2.7898,              0.0099703,              0.0099703,              0.0099703
                      6,                 1.6325,                 4.1294,                    2.1,                0.78562,                0.08533,                0.13156,                0.06139,                 2.2174,                 3.8407,                 2.8081,              0.0099604,              0.0099604,              0.0099604
                      7,                 1.6081,                 4.0268,                 2.0734,                0.60563,                 0.0932,                0.12988,                0.06325,                 2.1403,                 3.8024,                 2.7482,              0.0099505,              0.0099505,              0.0099505
                      8,                 1.5771,                  3.953,                 2.0429,                0.80132,                0.06183,                0.15624,                  0.084,                 2.1704,                 3.6735,                 2.7004,              0.0099406,              0.0099406,              0.0099406
                      9,                  1.569,                 3.8909,                 2.0315,                0.60999,                0.10917,                0.16557,                0.08436,                 2.1288,                 3.5643,                 2.6563,              0.0099307,              0.0099307,              0.0099307
                     10,                 1.5625,                 3.8591,                 2.0157,                0.64589,                0.12639,                0.18068,                0.08792,                 2.1341,                 3.4971,                 2.6772,              0.0099208,              0.0099208,              0.0099208
                     11,                 1.5377,                 3.8196,                 2.0003,                0.73345,                0.07132,                0.14806,                0.07175,                  2.148,                 3.4726,                 2.6689,              0.0099109,              0.0099109,              0.0099109
                     12,                 1.5378,                 3.7965,                 1.9982,                0.63682,                0.13361,                0.16216,                0.08528,                 2.0979,                 3.4573,                 2.6353,               0.009901,               0.009901,               0.009901
                     13,                 1.5077,                 3.7441,                 1.9787,                0.54017,                0.13453,                0.19706,                0.09907,                 2.0626,                 3.4057,                 2.6335,              0.0098911,              0.0098911,              0.0098911
                     14,                 1.5082,                 3.7124,                 1.9731,                0.66612,                0.14259,                0.21555,                0.11111,                 2.0064,                  3.333,                 2.5323,              0.0098812,              0.0098812,              0.0098812
                     15,                 1.5147,                 3.7032,                 1.9756,                0.61203,                0.13507,                0.20148,                0.10762,                 2.0109,                 3.3444,                 2.5693,              0.0098713,              0.0098713,              0.0098713
                     16,                 1.4948,                  3.662,                 1.9542,                0.63422,                0.18286,                0.22611,                0.11936,                 2.0405,                  3.319,                 2.5871,              0.0098614,              0.0098614,              0.0098614
                     17,                 1.4872,                 3.6283,                 1.9494,                 0.5572,                0.22658,                0.21912,                0.11458,                 1.9672,                 3.1839,                 2.5352,              0.0098515,              0.0098515,              0.0098515
                     18,                 1.4827,                 3.6229,                 1.9417,                0.47434,                  0.203,                0.23183,                0.13144,                 2.0029,                 3.2598,                 2.5289,              0.0098416,              0.0098416,              0.0098416
                     19,                 1.4669,                 3.5778,                 1.9291,                 0.5515,                0.21337,                 0.2638,                0.14407,                 2.0026,                 3.2615,                 2.5494,              0.0098317,              0.0098317,              0.0098317
                     20,                 1.4703,                 3.5489,                 1.9242,                0.47402,                0.22026,                0.24363,                0.13326,                 2.0004,                 3.1799,                 2.5311,              0.0098218,              0.0098218,              0.0098218
                     21,                  1.468,                 3.5348,                 1.9287,                 0.4891,                0.23762,                0.24436,                0.14442,                 1.9747,                 3.1039,                 2.5736,              0.0098119,              0.0098119,              0.0098119
                     22,                 1.4668,                  3.539,                 1.9222,                0.52146,                0.24029,                0.28101,                0.15159,                 1.9702,                 3.1479,                 2.5137,               0.009802,               0.009802,               0.009802
                     23,                 1.4588,                 3.5105,                 1.9162,                0.48503,                0.23271,                0.27275,                0.14871,                 1.9213,                 3.0777,                 2.4335,              0.0097921,              0.0097921,              0.0097921
                     24,                 1.4568,                 3.4732,                 1.9124,                0.43935,                 0.3002,                0.29886,                0.16042,                 1.9468,                 3.0273,                 2.4371,              0.0097822,              0.0097822,              0.0097822
                     25,                 1.4506,                 3.4524,                 1.9061,                0.56264,                0.24049,                0.29197,                0.16268,                 1.9275,                 3.0367,                 2.4501,              0.0097723,              0.0097723,              0.0097723
                     26,                 1.4411,                 3.4414,                 1.9005,                0.41878,                0.31553,                0.29588,                0.15918,                 1.9441,                 2.9969,                 2.4494,              0.0097624,              0.0097624,              0.0097624
                     27,                  1.452,                  3.425,                 1.8997,                 0.4584,                0.29233,                0.32239,                0.17206,                 1.9256,                 2.9878,                 2.4612,              0.0097525,              0.0097525,              0.0097525
                     28,                  1.438,                  3.401,                 1.8927,                0.45261,                0.24553,                0.28684,                0.16153,                 1.9189,                 3.0556,                 2.4353,              0.0097426,              0.0097426,              0.0097426
                     29,                 1.4421,                 3.3941,                 1.8925,                0.38595,                0.24964,                0.27427,                0.16096,                 1.8801,                 3.1066,                 2.4289,              0.0097327,              0.0097327,              0.0097327
                     30,                 1.4451,                 3.4036,                  1.895,                0.39526,                0.32259,                0.33576,                0.17482,                 1.9097,                 2.9517,                 2.4177,              0.0097228,              0.0097228,              0.0097228
                     31,                 1.4284,                 3.3533,                 1.8835,                0.47312,                0.29041,                0.33145,                0.18456,                  1.868,                  2.944,                  2.396,              0.0097129,              0.0097129,              0.0097129
                     32,                 1.4269,                 3.3395,                 1.8815,                0.40331,                0.31627,                0.34897,                0.19928,                 1.8687,                  2.919,                 2.3901,               0.009703,               0.009703,               0.009703
                     33,                 1.4259,                 3.3187,                 1.8734,                0.48731,                0.29743,                 0.3256,                0.18436,                 1.8741,                 2.9383,                 2.4055,              0.0096931,              0.0096931,              0.0096931
                     34,                 1.4254,                 3.3113,                 1.8783,                0.38665,                0.33616,                0.31406,                0.17742,                 1.9093,                 2.9872,                 2.4309,              0.0096832,              0.0096832,              0.0096832
                     35,                 1.4233,                 3.2874,                 1.8734,                0.40065,                0.32083,                0.34756,                0.18628,                 1.8554,                  2.899,                 2.3705,              0.0096733,              0.0096733,              0.0096733
                     36,                  1.416,                 3.2978,                 1.8754,                0.45135,                0.30842,                0.36366,                0.21159,                 1.8185,                 2.9525,                 2.3717,              0.0096634,              0.0096634,              0.0096634
                     37,                 1.4289,                  3.271,                 1.8743,                0.50619,                0.35782,                0.37633,                0.21175,                 1.8498,                 2.8859,                 2.3613,              0.0096535,              0.0096535,              0.0096535
                     38,                  1.414,                 3.2521,                 1.8631,                 0.4412,                0.33514,                0.37677,                0.20674,                 1.8332,                 2.8748,                 2.3644,              0.0096436,              0.0096436,              0.0096436
                     39,                 1.4111,                 3.2552,                 1.8595,                 0.4229,                0.34841,                0.38218,                0.22134,                 1.7444,                  2.813,                 2.3079,              0.0096337,              0.0096337,              0.0096337
                     40,                 1.4218,                 3.2397,                 1.8689,                0.51785,                0.38488,                 0.3996,                0.21895,                 1.8094,                 2.8281,                  2.335,              0.0096238,              0.0096238,              0.0096238
                     41,                 1.4145,                 3.2471,                 1.8664,                 0.4838,                0.33391,                0.36324,                 0.2031,                 1.8304,                 2.7818,                 2.3676,              0.0096139,              0.0096139,              0.0096139
                     42,                 1.3993,                 3.2036,                  1.854,                0.43099,                0.37902,                 0.3744,                0.21026,                 1.8114,                 2.7885,                 2.3524,               0.009604,               0.009604,               0.009604
                     43,                  1.408,                 3.2138,                  1.857,                0.43485,                0.40854,                0.42437,                0.23184,                 1.8273,                 2.7744,                 2.3615,              0.0095941,              0.0095941,              0.0095941
                     44,                 1.4018,                 3.1799,                 1.8486,                0.45805,                0.36538,                0.37911,                0.21155,                 1.7892,                 2.8166,                 2.3188,              0.0095842,              0.0095842,              0.0095842
                     45,                 1.4046,                 3.1714,                 1.8513,                0.48249,                0.37864,                 0.3883,                0.22439,                   1.78,                 2.7264,                 2.3092,              0.0095743,              0.0095743,              0.0095743
                     46,                 1.3982,                 3.1871,                  1.848,                0.45098,                0.38177,                0.38864,                0.22589,                 1.7791,                 2.7906,                 2.3145,              0.0095644,              0.0095644,              0.0095644
                     47,                 1.4031,                 3.1571,                 1.8486,                0.43661,                0.38788,                 0.4325,                0.23611,                 1.7663,                 2.7462,                 2.2969,              0.0095545,              0.0095545,              0.0095545
                     48,                 1.3893,                 3.1494,                 1.8426,                0.41979,                0.36376,                0.39857,                0.21707,                 1.7581,                 2.8108,                 2.3042,              0.0095446,              0.0095446,              0.0095446
                     49,                 1.3961,                 3.1387,                 1.8454,                0.44662,                0.38815,                0.39353,                0.22298,                 1.7852,                 2.7568,                 2.3151,              0.0095347,              0.0095347,              0.0095347
                     50,                 1.3951,                 3.1208,                 1.8454,                0.43992,                0.38043,                0.38266,                0.21591,                  1.786,                 2.7313,                  2.318,              0.0095248,              0.0095248,              0.0095248
                     51,                 1.3894,                  3.128,                 1.8383,                0.42796,                0.39498,                 0.3992,                0.22223,                 1.7808,                 2.7346,                 2.3092,              0.0095149,              0.0095149,              0.0095149
                     52,                 1.3957,                 3.0937,                 1.8445,                 0.5072,                0.33976,                0.43015,                 0.2441,                 1.7572,                 2.6782,                 2.2787,               0.009505,               0.009505,               0.009505
                     53,                 1.3907,                  3.103,                 1.8321,                0.44649,                0.36887,                0.41511,                0.23868,                 1.7737,                 2.6698,                 2.2946,              0.0094951,              0.0094951,              0.0094951
                     54,                 1.3854,                 3.0842,                  1.836,                0.51457,                0.34509,                0.40908,                0.23162,                 1.7545,                 2.6385,                 2.2892,              0.0094852,              0.0094852,              0.0094852
                     55,                 1.3834,                 3.0755,                 1.8313,                0.48553,                0.36852,                0.43216,                0.24671,                 1.7373,                 2.6048,                 2.2673,              0.0094753,              0.0094753,              0.0094753
                     56,                 1.3788,                 3.0687,                 1.8234,                0.53911,                0.35754,                0.41853,                 0.2397,                  1.776,                 2.6144,                 2.3104,              0.0094654,              0.0094654,              0.0094654
                     57,                 1.3741,                 3.0538,                 1.8271,                0.51067,                0.38029,                0.41528,                0.23597,                 1.7694,                 2.6304,                  2.294,              0.0094555,              0.0094555,              0.0094555
                     58,                 1.3727,                 3.0422,                 1.8234,                0.56748,                0.33605,                0.41394,                0.24165,                 1.7732,                 2.6331,                 2.2908,              0.0094456,              0.0094456,              0.0094456
                     59,                 1.3775,                 3.0389,                 1.8283,                0.39307,                0.38246,                0.41032,                0.24092,                  1.766,                 2.6452,                 2.3108,              0.0094357,              0.0094357,              0.0094357
                     60,                 1.3719,                 3.0364,                 1.8207,                0.40783,                0.38259,                 0.3902,                0.22492,                 1.7426,                 2.6514,                 2.2793,              0.0094258,              0.0094258,              0.0094258
                     61,                 1.3834,                 3.0127,                 1.8263,                0.36794,                0.41166,                0.40441,                0.22959,                 1.7424,                 2.6018,                  2.259,              0.0094159,              0.0094159,              0.0094159
                     62,                 1.3772,                  3.022,                  1.825,                 0.4388,                  0.362,                0.41267,                0.23646,                 1.7428,                 2.6136,                 2.2635,               0.009406,               0.009406,               0.009406
                     63,                 1.3688,                 3.0062,                 1.8194,                0.38842,                0.38754,                0.41849,                0.23962,                 1.7153,                  2.584,                 2.2457,              0.0093961,              0.0093961,              0.0093961
                     64,                 1.3667,                 2.9912,                 1.8171,                0.36258,                 0.4175,                0.42621,                0.24394,                 1.7056,                 2.5842,                 2.2445,              0.0093862,              0.0093862,              0.0093862
                     65,                  1.371,                 2.9869,                 1.8117,                0.39503,                0.41883,                0.41776,                0.23364,                 1.7248,                 2.5933,                 2.2502,              0.0093763,              0.0093763,              0.0093763
                     66,                   1.37,                 2.9975,                 1.8232,                0.46462,                0.38815,                0.39917,                0.23998,                 1.7237,                 2.5793,                 2.2566,              0.0093664,              0.0093664,              0.0093664
                     67,                 1.3664,                 2.9872,                   1.82,                0.48662,                0.41123,                0.41744,                0.24531,                  1.727,                 2.5829,                 2.2686,              0.0093565,              0.0093565,              0.0093565
                     68,                 1.3629,                 2.9693,                 1.8149,                 0.4631,                0.40417,                0.43344,                0.24948,                 1.7086,                  2.542,                 2.2518,              0.0093466,              0.0093466,              0.0093466
                     69,                 1.3676,                 2.9601,                  1.813,                0.42885,                0.47265,                0.43596,                0.25593,                 1.6986,                 2.5219,                 2.2488,              0.0093367,              0.0093367,              0.0093367
                     70,                 1.3607,                 2.9733,                 1.8091,                0.46706,                0.38822,                0.44322,                 0.2606,                 1.6892,                 2.5301,                 2.2424,              0.0093268,              0.0093268,              0.0093268
                     71,                 1.3647,                 2.9418,                 1.8121,                0.49033,                0.41641,                0.44104,                0.25991,                 1.6951,                 2.5294,                  2.247,              0.0093169,              0.0093169,              0.0093169
                     72,                  1.354,                 2.9407,                 1.8038,                0.44061,                0.46092,                 0.4389,                0.26103,                 1.7096,                  2.519,                 2.2575,               0.009307,               0.009307,               0.009307
                     73,                 1.3564,                  2.919,                  1.804,                0.43443,                0.45931,                0.46684,                0.27268,                 1.6908,                 2.5105,                 2.2297,              0.0092971,              0.0092971,              0.0092971
                     74,                 1.3584,                 2.9251,                 1.8104,                0.44208,                0.44935,                0.46533,                0.27105,                 1.6911,                 2.5002,                 2.2149,              0.0092872,              0.0092872,              0.0092872
                     75,                 1.3587,                 2.9183,                 1.8057,                0.41464,                0.45631,                0.47895,                0.28078,                 1.7013,                 2.4977,                 2.2213,              0.0092773,              0.0092773,              0.0092773
                     76,                 1.3516,                 2.9053,                 1.8002,                0.44298,                0.44086,                0.48576,                0.28006,                 1.7048,                 2.5118,                 2.2298,              0.0092674,              0.0092674,              0.0092674
                     77,                 1.3526,                 2.9108,                 1.7994,                0.48269,                0.43739,                0.47485,                0.26831,                 1.7095,                 2.5027,                 2.2308,              0.0092575,              0.0092575,              0.0092575
                     78,                  1.353,                 2.9101,                 1.8064,                0.48764,                0.43655,                0.46908,                0.27052,                 1.7132,                 2.4887,                 2.2332,              0.0092476,              0.0092476,              0.0092476
                     79,                 1.3619,                 2.8793,                 1.8016,                0.49067,                0.42295,                0.46894,                0.26648,                 1.7073,                 2.4979,                 2.2291,              0.0092377,              0.0092377,              0.0092377
                     80,                 1.3457,                 2.8855,                 1.7933,                0.47552,                0.44055,                0.47545,                0.26611,                 1.7077,                 2.5163,                 2.2307,              0.0092278,              0.0092278,              0.0092278
                     81,                  1.344,                  2.871,                  1.797,                 0.4817,                0.43757,                0.47744,                0.26468,                 1.7067,                 2.5092,                 2.2337,              0.0092179,              0.0092179,              0.0092179
                     82,                 1.3551,                 2.8722,                  1.802,                0.46018,                0.44994,                0.46259,                0.26183,                 1.6988,                 2.5162,                 2.2278,               0.009208,               0.009208,               0.009208
                     83,                 1.3511,                  2.861,                 1.8034,                0.48277,                0.44429,                0.46912,                0.26201,                  1.694,                 2.5131,                 2.2239,              0.0091981,              0.0091981,              0.0091981
                     84,                 1.3509,                 2.8498,                 1.7946,                0.49662,                0.44303,                 0.4692,                0.26087,                 1.6908,                 2.5131,                  2.218,              0.0091882,              0.0091882,              0.0091882
                     85,                 1.3435,                 2.8326,                 1.7945,                0.49163,                0.45229,                0.46917,                0.26272,                 1.6894,                 2.5106,                 2.2175,              0.0091783,              0.0091783,              0.0091783
                     86,                 1.3283,                 2.8365,                 1.7885,                0.51512,                0.44844,                0.47747,                0.26669,                 1.6917,                 2.5092,                 2.2187,              0.0091684,              0.0091684,              0.0091684
                     87,                 1.3475,                 2.8459,                 1.7979,                 0.5158,                0.45264,                0.47948,                0.26774,                 1.6879,                  2.503,                 2.2173,              0.0091585,              0.0091585,              0.0091585
                     88,                 1.3423,                 2.8376,                 1.7892,                0.53594,                0.44981,                0.47761,                0.26753,                 1.6841,                 2.4957,                 2.2128,              0.0091486,              0.0091486,              0.0091486
                     89,                 1.3385,                 2.8354,                 1.7907,                0.54607,                0.44277,                0.47677,                0.26674,                 1.6843,                 2.4807,                 2.2124,              0.0091387,              0.0091387,              0.0091387
                     90,                 1.3384,                 2.8079,                 1.7857,                0.51369,                0.44754,                0.47701,                0.26697,                 1.6795,                 2.4749,                 2.2099,              0.0091288,              0.0091288,              0.0091288
                     91,                 1.3346,                 2.8078,                 1.7854,                0.52776,                0.44607,                0.47595,                0.26802,                 1.6793,                 2.4669,                 2.2146,              0.0091189,              0.0091189,              0.0091189
                     92,                 1.3396,                 2.8165,                 1.7912,                0.54158,                0.43712,                0.47836,                0.26581,                 1.6786,                 2.4592,                 2.2149,               0.009109,               0.009109,               0.009109
                     93,                 1.3428,                 2.8023,                 1.7916,                0.53697,                0.43291,                0.48443,                0.26966,                 1.6811,                 2.4541,                 2.2118,              0.0090991,              0.0090991,              0.0090991
                     94,                 1.3356,                 2.7907,                  1.789,                0.52298,                0.44103,                0.48746,                0.27067,                 1.6812,                 2.4497,                 2.2118,              0.0090892,              0.0090892,              0.0090892
                     95,                  1.331,                 2.7985,                 1.7832,                0.56737,                0.42963,                0.48402,                0.27217,                 1.6788,                 2.4488,                 2.2089,              0.0090793,              0.0090793,              0.0090793
                     96,                 1.3296,                  2.774,                 1.7758,                 0.5637,                0.43183,                0.48344,                 0.2722,                 1.6776,                 2.4479,                 2.2065,              0.0090694,              0.0090694,              0.0090694
                     97,                 1.3392,                 2.7972,                 1.7884,                0.55891,                0.41757,                0.47578,                   0.27,                 1.6761,                 2.4549,                 2.2028,              0.0090595,              0.0090595,              0.0090595
                     98,                 1.3414,                 2.7811,                 1.7901,                0.55741,                0.41231,                0.47825,                0.27034,                 1.6733,                 2.4516,                 2.1998,              0.0090496,              0.0090496,              0.0090496
                     99,                  1.347,                 2.7782,                  1.788,                0.55427,                 0.4162,                0.48022,                0.27021,                 1.6707,                  2.446,                  2.198,              0.0090397,              0.0090397,              0.0090397
                    100,                 1.3365,                 2.7638,                 1.7821,                0.58712,                0.41274,                0.49232,                0.27581,                 1.6677,                  2.448,                 2.1943,              0.0090298,              0.0090298,              0.0090298
                    101,                 1.3282,                 2.7552,                 1.7773,                0.58759,                0.41053,                0.48839,                0.27421,                 1.6651,                 2.4466,                   2.19,              0.0090199,              0.0090199,              0.0090199
                    102,                 1.3341,                 2.7562,                 1.7813,                0.58372,                0.39537,                0.48371,                0.27226,                 1.6642,                 2.4527,                 2.1898,                0.00901,                0.00901,                0.00901
                    103,                 1.3297,                  2.746,                 1.7775,                0.58502,                0.39482,                0.48139,                 0.2721,                 1.6628,                 2.4515,                 2.1874,              0.0090001,              0.0090001,              0.0090001
                    104,                 1.3307,                 2.7353,                 1.7768,                0.58511,                0.39486,                0.47968,                 0.2716,                 1.6609,                 2.4478,                 2.1849,              0.0089902,              0.0089902,              0.0089902
                    105,                 1.3303,                 2.7408,                 1.7754,                0.56574,                0.40307,                0.47903,                0.27112,                 1.6603,                 2.4449,                 2.1837,              0.0089803,              0.0089803,              0.0089803
                    106,                 1.3296,                 2.7281,                 1.7734,                0.58785,                 0.3953,                0.47929,                0.27006,                 1.6613,                 2.4396,                 2.1834,              0.0089704,              0.0089704,              0.0089704
                    107,                 1.3282,                 2.7231,                 1.7755,                0.58141,                0.39769,                0.47909,                0.27039,                 1.6638,                 2.4386,                 2.1856,              0.0089605,              0.0089605,              0.0089605
                    108,                 1.3282,                 2.7001,                 1.7734,                0.57933,                0.39851,                0.48009,                0.27011,                 1.6637,                 2.4397,                 2.1853,              0.0089506,              0.0089506,              0.0089506
                    109,                  1.326,                  2.714,                 1.7731,                0.57706,                0.39763,                 0.4815,                0.27142,                  1.663,                 2.4342,                 2.1857,              0.0089407,              0.0089407,              0.0089407
                    110,                 1.3303,                 2.7016,                 1.7703,                0.45853,                0.45369,                0.48188,                0.27395,                  1.661,                  2.435,                 2.1828,              0.0089308,              0.0089308,              0.0089308
                    111,                 1.3215,                 2.7085,                 1.7726,                0.46074,                0.45351,                 0.4822,                0.27478,                 1.6615,                 2.4322,                 2.1829,              0.0089209,              0.0089209,              0.0089209
                    112,                 1.3255,                 2.7094,                 1.7704,                 0.5767,                0.39887,                0.47817,                0.27012,                 1.6601,                  2.431,                 2.1817,               0.008911,               0.008911,               0.008911
                    113,                  1.328,                 2.7081,                  1.776,                0.43129,                0.45431,                0.48044,                0.27239,                 1.6602,                 2.4313,                 2.1806,              0.0089011,              0.0089011,              0.0089011
                    114,                 1.3133,                 2.6836,                 1.7651,                0.43259,                0.45466,                0.48148,                  0.274,                  1.659,                 2.4259,                 2.1788,              0.0088912,              0.0088912,              0.0088912
                    115,                 1.3171,                 2.6719,                 1.7646,                0.43382,                0.46848,                0.48213,                0.27591,                 1.6602,                 2.4254,                  2.179,              0.0088813,              0.0088813,              0.0088813
                    116,                 1.3293,                 2.6789,                  1.772,                0.43267,                0.46786,                0.48255,                0.27675,                 1.6595,                 2.4222,                 2.1778,              0.0088714,              0.0088714,              0.0088714
                    117,                 1.3259,                 2.6968,                 1.7727,                0.43084,                0.45949,                0.47845,                0.27517,                 1.6585,                 2.4217,                  2.177,              0.0088615,              0.0088615,              0.0088615
                    118,                 1.3207,                 2.6806,                 1.7691,                0.43241,                0.45896,                0.47823,                0.27531,                 1.6599,                 2.4194,                 2.1777,              0.0088516,              0.0088516,              0.0088516
                    119,                 1.3107,                  2.682,                  1.765,                0.43154,                0.45997,                0.47717,                0.27387,                 1.6603,                 2.4151,                 2.1779,              0.0088417,              0.0088417,              0.0088417
                    120,                 1.3181,                 2.6553,                 1.7661,                0.41919,                0.45908,                0.47906,                0.27181,                 1.6594,                 2.4145,                 2.1756,              0.0088318,              0.0088318,              0.0088318
                    121,                 1.3266,                 2.6606,                 1.7703,                 0.4506,                0.45818,                0.47935,                0.27191,                 1.6594,                 2.4106,                 2.1749,              0.0088219,              0.0088219,              0.0088219
                    122,                 1.3193,                  2.663,                 1.7647,                0.45216,                0.45663,                0.47956,                0.27024,                 1.6602,                 2.4065,                 2.1757,               0.008812,               0.008812,               0.008812
                    123,                 1.3109,                 2.6428,                 1.7606,                0.45209,                0.45823,                 0.4805,                 0.2704,                 1.6595,                 2.4066,                 2.1749,              0.0088021,              0.0088021,              0.0088021
                    124,                 1.3062,                  2.657,                  1.756,                0.45048,                0.45492,                0.47988,                0.27075,                 1.6574,                 2.4046,                 2.1727,              0.0087922,              0.0087922,              0.0087922
                    125,                 1.3128,                 2.6518,                 1.7634,                0.43702,                0.46221,                0.48059,                0.27103,                  1.656,                 2.4044,                 2.1712,              0.0087823,              0.0087823,              0.0087823
                    126,                 1.3173,                 2.6397,                 1.7628,                 0.4508,                0.46134,                0.48222,                0.27127,                 1.6542,                 2.4049,                 2.1692,              0.0087724,              0.0087724,              0.0087724
