                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1625,                 5.7941,                 4.1599,                0.00039,                0.08571,                0.00158,                0.00056,                 2.8891,                 4.9432,                  3.961,              0.0033308,              0.0033308,              0.0033308
                      2,                  2.484,                 5.6558,                 3.2345,                0.64299,                0.01429,                0.00677,                0.00243,                 2.3567,                 4.7313,                 3.1855,              0.0066575,              0.0066575,              0.0066575
                      3,                 1.8323,                 5.0486,                 2.4149,                0.00524,                0.49643,                0.04518,                0.01497,                  1.992,                 4.3853,                 2.7724,              0.0099776,              0.0099776,              0.0099776
                      4,                 1.6382,                 4.5769,                 2.1698,                0.00538,                0.65357,                0.08468,                0.04366,                 2.0029,                 4.0542,                 2.6163,              0.0099703,              0.0099703,              0.0099703
                      5,                 1.5558,                 4.2348,                 2.0473,                0.83505,                0.05953,                0.08826,                0.05065,                 1.9128,                 4.0381,                 2.5469,              0.0099703,              0.0099703,              0.0099703
                      6,                 1.5227,                 4.0643,                 2.0123,                0.71016,                0.06048,                0.11418,                0.07306,                 1.9561,                 3.8397,                 2.5193,              0.0099604,              0.0099604,              0.0099604
                      7,                  1.472,                 3.9299,                 1.9561,                0.70943,                0.10351,                 0.1419,                0.09216,                 1.8978,                 3.6693,                 2.4465,              0.0099505,              0.0099505,              0.0099505
                      8,                 1.4357,                 3.8446,                 1.9226,                0.62292,                0.16446,                0.16706,                0.10348,                  1.772,                 3.5444,                 2.3843,              0.0099406,              0.0099406,              0.0099406
                      9,                 1.4207,                 3.7775,                  1.903,                0.60929,                0.11201,                0.14747,                0.08527,                 1.7181,                 3.5316,                 2.2944,              0.0099307,              0.0099307,              0.0099307
                     10,                 1.4022,                  3.718,                 1.8735,                0.58733,                0.09278,                0.12736,                0.08325,                 1.7324,                 3.4089,                  2.303,              0.0099208,              0.0099208,              0.0099208
                     11,                 1.3881,                 3.6711,                 1.8618,                0.54862,                0.12415,                0.14455,                0.08939,                 1.7346,                 3.3555,                  2.274,              0.0099109,              0.0099109,              0.0099109
                     12,                 1.3775,                 3.6509,                  1.852,                0.56487,                0.17329,                0.21992,                0.13743,                  1.675,                 3.2847,                 2.2153,               0.009901,               0.009901,               0.009901
                     13,                 1.3544,                 3.5956,                 1.8296,                0.44111,                0.12563,                0.18389,                0.11076,                 1.6848,                 3.2741,                 2.2457,              0.0098911,              0.0098911,              0.0098911
                     14,                 1.3485,                 3.5653,                 1.8224,                0.38802,                0.14681,                0.18113,                0.11291,                 1.6603,                 3.2003,                 2.1583,              0.0098812,              0.0098812,              0.0098812
                     15,                  1.342,                 3.5406,                 1.8221,                0.44609,                 0.2398,                0.21838,                0.13453,                 1.6446,                  3.179,                 2.1937,              0.0098713,              0.0098713,              0.0098713
                     16,                  1.327,                 3.4852,                 1.8024,                0.51512,                0.23129,                0.24321,                0.16258,                 1.6571,                 3.1541,                 2.1762,              0.0098614,              0.0098614,              0.0098614
                     17,                  1.316,                  3.452,                 1.7946,                0.49887,                0.23504,                0.24889,                0.16028,                 1.5883,                 3.1145,                  2.149,              0.0098515,              0.0098515,              0.0098515
                     18,                 1.3133,                 3.4597,                 1.7943,                0.51502,                0.21584,                0.26417,                 0.1561,                 1.6225,                 3.0556,                 2.1564,              0.0098416,              0.0098416,              0.0098416
                     19,                 1.2962,                 3.4149,                 1.7832,                0.54974,                0.25141,                 0.2529,                0.16038,                 1.6468,                 3.1062,                 2.1988,              0.0098317,              0.0098317,              0.0098317
                     20,                 1.2972,                 3.3831,                 1.7746,                0.39835,                 0.2512,                0.27367,                0.16206,                 1.6408,                 3.0089,                 2.1576,              0.0098218,              0.0098218,              0.0098218
                     21,                 1.2881,                 3.3569,                 1.7709,                0.43522,                0.29542,                0.25626,                0.16999,                 1.6014,                 3.0049,                 2.1296,              0.0098119,              0.0098119,              0.0098119
                     22,                 1.2864,                  3.359,                  1.768,                 0.3528,                0.29767,                0.28824,                0.17523,                 1.6304,                 3.0334,                 2.1155,               0.009802,               0.009802,               0.009802
                     23,                 1.2752,                  3.323,                 1.7547,                0.38777,                 0.2632,                0.27191,                0.17108,                  1.605,                 2.9222,                 2.1004,              0.0097921,              0.0097921,              0.0097921
                     24,                 1.2745,                 3.2866,                 1.7583,                0.43683,                0.32758,                0.32718,                0.22217,                 1.6159,                 2.8995,                 2.1012,              0.0097822,              0.0097822,              0.0097822
                     25,                 1.2637,                 3.2628,                 1.7456,                0.44262,                0.29316,                0.29877,                0.19344,                 1.5635,                 2.9041,                 2.0665,              0.0097723,              0.0097723,              0.0097723
                     26,                  1.251,                 3.2469,                 1.7351,                0.47845,                0.30777,                0.32817,                 0.2116,                 1.5842,                 2.7678,                    2.1,              0.0097624,              0.0097624,              0.0097624
                     27,                   1.26,                 3.2407,                 1.7433,                  0.369,                0.34951,                0.32284,                0.20406,                  1.519,                 2.8153,                 2.0408,              0.0097525,              0.0097525,              0.0097525
                     28,                 1.2501,                 3.2062,                 1.7315,                0.43029,                 0.3181,                0.33285,                0.20795,                 1.5443,                 2.8461,                 2.0662,              0.0097426,              0.0097426,              0.0097426
                     29,                 1.2522,                 3.2021,                 1.7372,                 0.4813,                0.34986,                0.38265,                0.23697,                 1.5591,                 2.7729,                 2.0784,              0.0097327,              0.0097327,              0.0097327
                     30,                 1.2514,                 3.1965,                  1.736,                0.50138,                0.33927,                0.38513,                0.23916,                 1.5123,                 2.7381,                 2.0249,              0.0097228,              0.0097228,              0.0097228
                     31,                 1.2368,                 3.1531,                 1.7185,                0.45379,                0.34374,                0.36383,                0.24787,                 1.4858,                  2.694,                  2.006,              0.0097129,              0.0097129,              0.0097129
                     32,                 1.2318,                 3.1504,                 1.7194,                0.37581,                0.39127,                0.36915,                0.24906,                  1.484,                 2.6603,                  2.005,               0.009703,               0.009703,               0.009703
                     33,                  1.231,                 3.1283,                 1.7179,                0.39152,                0.38593,                0.37284,                0.24249,                 1.5436,                 2.6862,                 2.0755,              0.0096931,              0.0096931,              0.0096931
                     34,                  1.227,                 3.1093,                 1.7141,                0.39178,                0.39049,                0.38354,                0.24684,                 1.5003,                 2.7001,                 2.0116,              0.0096832,              0.0096832,              0.0096832
                     35,                 1.2188,                 3.0932,                 1.7054,                0.38027,                0.40623,                0.37427,                0.24885,                 1.4731,                 2.6292,                 2.0011,              0.0096733,              0.0096733,              0.0096733
                     36,                 1.2191,                 3.0925,                 1.7064,                0.50818,                0.33888,                0.40032,                0.27174,                  1.426,                 2.5727,                 1.9606,              0.0096634,              0.0096634,              0.0096634
                     37,                 1.2306,                 3.0705,                 1.7108,                0.38005,                0.43186,                0.42176,                0.27254,                 1.4472,                 2.5778,                 1.9602,              0.0096535,              0.0096535,              0.0096535
                     38,                 1.2096,                 3.0405,                  1.695,                 0.4447,                0.41166,                0.40011,                0.24971,                 1.4914,                  2.581,                 2.0006,              0.0096436,              0.0096436,              0.0096436
                     39,                 1.2107,                 3.0536,                 1.6946,                0.39703,                 0.4032,                0.41359,                0.26688,                 1.4841,                 2.6123,                 1.9778,              0.0096337,              0.0096337,              0.0096337
                     40,                 1.2139,                 3.0316,                 1.6959,                0.42103,                0.43958,                0.42176,                0.27414,                 1.4417,                 2.6011,                 1.9563,              0.0096238,              0.0096238,              0.0096238
                     41,                 1.2088,                 3.0299,                 1.6874,                0.48648,                0.37911,                0.41098,                0.26666,                 1.4465,                 2.5999,                 1.9652,              0.0096139,              0.0096139,              0.0096139
                     42,                  1.198,                 2.9989,                  1.683,                0.60676,                0.29897,                   0.42,                0.28418,                 1.4368,                 2.5526,                 1.9681,               0.009604,               0.009604,               0.009604
                     43,                 1.2033,                 3.0007,                 1.6867,                0.46128,                0.40168,                0.41875,                0.27873,                 1.4819,                 2.4974,                 1.9955,              0.0095941,              0.0095941,              0.0095941
                     44,                  1.188,                 2.9705,                 1.6713,                0.59014,                0.35387,                0.42772,                0.28022,                 1.4363,                 2.5388,                 1.9476,              0.0095842,              0.0095842,              0.0095842
                     45,                 1.1969,                 2.9652,                 1.6777,                0.48194,                0.42147,                0.44185,                0.29726,                 1.4171,                 2.4739,                 1.9364,              0.0095743,              0.0095743,              0.0095743
                     46,                 1.1913,                 2.9711,                 1.6776,                0.49955,                0.40869,                0.42174,                0.29718,                 1.3952,                  2.485,                  1.923,              0.0095644,              0.0095644,              0.0095644
                     47,                 1.1942,                 2.9468,                 1.6762,                0.51415,                0.42149,                0.42256,                0.28013,                 1.4151,                 2.4106,                 1.9466,              0.0095545,              0.0095545,              0.0095545
                     48,                 1.1852,                 2.9382,                 1.6682,                0.46992,                  0.426,                0.43294,                0.28246,                 1.4207,                 2.4786,                 1.9502,              0.0095446,              0.0095446,              0.0095446
                     49,                 1.1865,                 2.9394,                 1.6764,                0.51573,                0.39428,                0.43974,                0.28706,                 1.4038,                  2.408,                 1.9475,              0.0095347,              0.0095347,              0.0095347
                     50,                 1.1847,                 2.9154,                 1.6697,                  0.439,                0.42541,                0.44415,                 0.2886,                 1.4046,                 2.4499,                 1.9461,              0.0095248,              0.0095248,              0.0095248
                     51,                  1.184,                 2.9078,                 1.6657,                0.46492,                0.39906,                0.41644,                0.27756,                 1.3905,                 2.4256,                 1.9192,              0.0095149,              0.0095149,              0.0095149
                     52,                 1.1811,                  2.879,                 1.6649,                0.38349,                0.48049,                0.46153,                0.30156,                 1.3847,                 2.3775,                 1.9042,               0.009505,               0.009505,               0.009505
                     53,                 1.1862,                 2.8867,                 1.6631,                0.41786,                0.48157,                 0.4527,                0.30121,                  1.392,                 2.3474,                 1.9232,              0.0094951,              0.0094951,              0.0094951
                     54,                 1.1779,                 2.8565,                 1.6612,                0.47832,                0.44194,                0.47605,                0.30725,                  1.411,                 2.3562,                  1.934,              0.0094852,              0.0094852,              0.0094852
                     55,                 1.1729,                 2.8557,                 1.6558,                0.51847,                0.42597,                0.47286,                0.30319,                 1.3916,                 2.3174,                 1.9134,              0.0094753,              0.0094753,              0.0094753
                     56,                 1.1714,                 2.8461,                 1.6499,                 0.5106,                0.40228,                0.45612,                0.30616,                 1.3758,                 2.3461,                 1.9036,              0.0094654,              0.0094654,              0.0094654
                     57,                 1.1656,                 2.8362,                 1.6492,                0.51814,                0.41786,                0.46197,                0.31306,                 1.3439,                 2.3515,                 1.8713,              0.0094555,              0.0094555,              0.0094555
                     58,                 1.1628,                 2.8181,                 1.6509,                0.44571,                0.42978,                0.45113,                0.30084,                 1.3654,                  2.318,                 1.8664,              0.0094456,              0.0094456,              0.0094456
                     59,                 1.1674,                 2.8184,                 1.6522,                0.38675,                0.46882,                0.43541,                0.29603,                 1.3837,                 2.3506,                 1.8998,              0.0094357,              0.0094357,              0.0094357
                     60,                 1.1618,                 2.8125,                 1.6455,                0.45532,                0.46791,                 0.4661,                0.29916,                 1.3866,                 2.3185,                 1.9012,              0.0094258,              0.0094258,              0.0094258
                     61,                 1.1628,                 2.7908,                 1.6464,                0.45602,                0.44915,                0.48179,                0.32687,                 1.3807,                 2.3007,                 1.8867,              0.0094159,              0.0094159,              0.0094159
                     62,                 1.1634,                 2.8075,                 1.6502,                0.50558,                 0.3972,                0.45528,                0.31596,                 1.3681,                 2.2789,                 1.8829,               0.009406,               0.009406,               0.009406
                     63,                 1.1523,                 2.7737,                 1.6435,                 0.4937,                0.41122,                0.46327,                0.31691,                 1.3725,                 2.2956,                 1.8798,              0.0093961,              0.0093961,              0.0093961
                     64,                 1.1481,                  2.774,                 1.6426,                0.44632,                0.44292,                0.47396,                0.31843,                 1.3587,                 2.2845,                 1.8727,              0.0093862,              0.0093862,              0.0093862
                     65,                 1.1521,                 2.7615,                 1.6337,                0.47944,                0.46805,                0.45367,                0.30946,                 1.3513,                 2.2657,                 1.8777,              0.0093763,              0.0093763,              0.0093763
                     66,                 1.1552,                 2.7755,                 1.6412,                  0.483,                0.44566,                 0.4651,                 0.3163,                  1.358,                 2.2496,                 1.8785,              0.0093664,              0.0093664,              0.0093664
                     67,                 1.1542,                 2.7626,                 1.6413,                0.49049,                0.47751,                0.46813,                0.31637,                 1.3459,                 2.2529,                 1.8691,              0.0093565,              0.0093565,              0.0093565
                     68,                 1.1494,                 2.7438,                  1.637,                0.47968,                0.47341,                 0.4736,                0.31674,                 1.3439,                 2.2427,                 1.8619,              0.0093466,              0.0093466,              0.0093466
                     69,                 1.1432,                 2.7291,                 1.6267,                0.51128,                0.44411,                0.47033,                0.31113,                 1.3403,                 2.2091,                 1.8591,              0.0093367,              0.0093367,              0.0093367
                     70,                 1.1501,                  2.746,                 1.6325,                0.46179,                0.44076,                0.47331,                0.31344,                 1.3546,                 2.1893,                 1.8663,              0.0093268,              0.0093268,              0.0093268
                     71,                 1.1478,                 2.7243,                 1.6281,                0.42132,                0.49487,                0.47067,                0.32363,                 1.3489,                 2.1883,                  1.854,              0.0093169,              0.0093169,              0.0093169
                     72,                 1.1373,                 2.7045,                 1.6199,                0.43092,                0.49324,                0.48233,                0.32262,                 1.3512,                 2.1932,                 1.8582,               0.009307,               0.009307,               0.009307
                     73,                 1.1353,                 2.6925,                 1.6174,                0.42928,                0.46635,                0.47387,                0.32295,                 1.3419,                 2.1871,                 1.8481,              0.0092971,              0.0092971,              0.0092971
                     74,                 1.1315,                 2.6975,                 1.6261,                0.48131,                0.44772,                0.47015,                0.32517,                 1.3345,                 2.1649,                 1.8489,              0.0092872,              0.0092872,              0.0092872
                     75,                 1.1372,                 2.6906,                 1.6235,                0.46883,                0.44678,                0.48373,                 0.3355,                 1.3425,                 2.1737,                 1.8636,              0.0092773,              0.0092773,              0.0092773
                     76,                 1.1326,                  2.684,                 1.6167,                0.46325,                0.43634,                0.48945,                0.34345,                 1.3409,                 2.1639,                 1.8624,              0.0092674,              0.0092674,              0.0092674
                     77,                 1.1297,                  2.677,                 1.6156,                 0.4637,                0.44701,                0.49205,                0.34197,                 1.3281,                 2.1608,                 1.8525,              0.0092575,              0.0092575,              0.0092575
                     78,                 1.1321,                 2.6853,                   1.62,                0.45265,                0.45949,                0.49559,                0.34408,                 1.3261,                 2.1586,                 1.8557,              0.0092476,              0.0092476,              0.0092476
                     79,                 1.1367,                  2.655,                 1.6138,                0.46117,                0.45708,                0.48816,                0.34536,                 1.3263,                 2.1525,                 1.8526,              0.0092377,              0.0092377,              0.0092377
                     80,                 1.1285,                 2.6554,                   1.61,                0.47192,                0.44431,                0.49103,                0.34255,                  1.316,                 2.1538,                 1.8477,              0.0092278,              0.0092278,              0.0092278
                     81,                 1.1165,                  2.637,                 1.6066,                0.43426,                0.47071,                0.49067,                0.34121,                 1.3256,                  2.148,                   1.85,              0.0092179,              0.0092179,              0.0092179
                     82,                 1.1315,                 2.6461,                 1.6149,                0.42439,                0.47791,                 0.4923,                0.34236,                 1.3272,                 2.1553,                 1.8511,               0.009208,               0.009208,               0.009208
                     83,                  1.136,                 2.6315,                 1.6213,                0.47433,                0.47869,                0.47889,                 0.3298,                 1.3256,                 2.1506,                  1.849,              0.0091981,              0.0091981,              0.0091981
                     84,                 1.1235,                  2.622,                 1.6071,                0.44235,                0.47177,                0.49695,                0.33104,                 1.3238,                 2.1488,                 1.8422,              0.0091882,              0.0091882,              0.0091882
                     85,                 1.1217,                 2.6046,                 1.6071,                 0.5097,                0.45643,                0.49364,                0.33072,                 1.3352,                 2.1609,                 1.8501,              0.0091783,              0.0091783,              0.0091783
                     86,                 1.1111,                 2.5928,                 1.6006,                0.48419,                0.46672,                 0.4831,                0.32992,                 1.3376,                 2.1573,                  1.853,              0.0091684,              0.0091684,              0.0091684
                     87,                 1.1278,                 2.6146,                 1.6092,                0.50337,                0.46274,                 0.4896,                0.33334,                 1.3373,                 2.1494,                 1.8523,              0.0091585,              0.0091585,              0.0091585
                     88,                 1.1167,                 2.6105,                 1.6022,                0.50626,                0.45793,                0.49862,                0.34209,                 1.3388,                 2.1468,                 1.8529,              0.0091486,              0.0091486,              0.0091486
                     89,                 1.1202,                 2.6032,                 1.6066,                0.54354,                0.44869,                0.50311,                0.34603,                 1.3291,                 2.1388,                 1.8432,              0.0091387,              0.0091387,              0.0091387
                     90,                 1.1189,                 2.5651,                 1.6011,                0.54852,                0.45023,                0.49871,                0.34378,                  1.328,                 2.1287,                 1.8395,              0.0091288,              0.0091288,              0.0091288
                     91,                 1.1177,                 2.5809,                 1.5999,                0.53683,                0.45172,                0.49376,                0.33941,                 1.3268,                 2.1142,                 1.8384,              0.0091189,              0.0091189,              0.0091189
                     92,                 1.1168,                 2.5831,                 1.6042,                0.54078,                0.44714,                0.49476,                0.34267,                 1.3249,                 2.1071,                 1.8366,               0.009109,               0.009109,               0.009109
                     93,                 1.1096,                 2.5618,                 1.5988,                 0.5424,                0.43059,                0.49572,                0.34058,                 1.3232,                 2.1061,                 1.8345,              0.0090991,              0.0090991,              0.0090991
                     94,                 1.1071,                 2.5554,                 1.5932,                0.54741,                0.43048,                 0.4993,                0.33897,                 1.3187,                 2.1014,                 1.8301,              0.0090892,              0.0090892,              0.0090892
                     95,                 1.1127,                 2.5474,                 1.5946,                0.55011,                0.42886,                0.49516,                0.33767,                 1.3145,                    2.1,                 1.8256,              0.0090793,              0.0090793,              0.0090793
                     96,                 1.1018,                 2.5535,                 1.5858,                0.56124,                0.42421,                0.49722,                0.33921,                 1.3113,                 2.0956,                 1.8236,              0.0090694,              0.0090694,              0.0090694
                     97,                 1.1113,                 2.5556,                 1.5934,                0.56206,                0.42266,                0.49996,                0.34235,                 1.3094,                 2.0939,                 1.8221,              0.0090595,              0.0090595,              0.0090595
                     98,                 1.1093,                 2.5427,                 1.5939,                0.56682,                0.42177,                0.50406,                0.34389,                 1.3095,                 2.0908,                 1.8204,              0.0090496,              0.0090496,              0.0090496
                     99,                 1.1175,                 2.5454,                  1.594,                0.56304,                0.42247,                0.50122,                0.34333,                 1.3102,                 2.0936,                  1.819,              0.0090397,              0.0090397,              0.0090397
                    100,                 1.1009,                 2.5244,                 1.5835,                0.55886,                0.42911,                0.50283,                 0.3453,                 1.3098,                 2.0894,                 1.8169,              0.0090298,              0.0090298,              0.0090298
                    101,                 1.1024,                 2.5097,                 1.5824,                0.55887,                0.43083,                0.50682,                0.34663,                 1.3104,                 2.0833,                 1.8147,              0.0090199,              0.0090199,              0.0090199
                    102,                 1.1058,                   2.53,                 1.5923,                0.55349,                0.43869,                0.50961,                0.35156,                 1.3126,                  2.076,                 1.8161,                0.00901,                0.00901,                0.00901
                    103,                 1.1069,                 2.5006,                 1.5873,                0.52522,                0.45782,                0.51334,                0.35499,                 1.3136,                 2.0737,                 1.8166,              0.0090001,              0.0090001,              0.0090001
                    104,                 1.1012,                 2.5016,                 1.5864,                 0.5293,                0.45705,                0.51795,                0.35877,                 1.3126,                 2.0716,                 1.8172,              0.0089902,              0.0089902,              0.0089902
                    105,                 1.1019,                 2.4975,                 1.5828,                0.52816,                0.45972,                  0.519,                 0.3604,                 1.3092,                  2.064,                 1.8142,              0.0089803,              0.0089803,              0.0089803
                    106,                 1.1009,                 2.4962,                 1.5818,                0.50412,                0.49688,                0.51925,                0.35952,                 1.3002,                 2.0618,                 1.8046,              0.0089704,              0.0089704,              0.0089704
                    107,                 1.0954,                 2.4921,                 1.5826,                 0.4898,                0.50384,                0.51848,                0.35768,                 1.2979,                 2.0597,                 1.8026,              0.0089605,              0.0089605,              0.0089605
                    108,                 1.0932,                 2.4638,                 1.5783,                0.49027,                  0.511,                0.51833,                0.35819,                  1.296,                 2.0571,                 1.8008,              0.0089506,              0.0089506,              0.0089506
                    109,                 1.0943,                 2.4853,                 1.5785,                0.46649,                0.52972,                0.51975,                0.36068,                 1.2952,                 2.0533,                 1.7996,              0.0089407,              0.0089407,              0.0089407
                    110,                 1.0932,                 2.4545,                  1.574,                0.46806,                  0.531,                0.51741,                0.35775,                  1.295,                 2.0502,                 1.7985,              0.0089308,              0.0089308,              0.0089308
                    111,                 1.0921,                 2.4681,                 1.5777,                0.46878,                0.53174,                0.51935,                0.35877,                 1.2961,                 2.0491,                 1.7992,              0.0089209,              0.0089209,              0.0089209
                    112,                 1.0978,                 2.4699,                 1.5788,                0.49201,                0.52416,                0.52087,                0.35832,                 1.2946,                 2.0458,                 1.7971,               0.008911,               0.008911,               0.008911
                    113,                 1.0994,                 2.4744,                  1.579,                0.51387,                0.53354,                0.52535,                0.36199,                 1.2919,                 2.0418,                 1.7943,              0.0089011,              0.0089011,              0.0089011
                    114,                 1.0889,                 2.4411,                 1.5736,                0.51598,                0.52765,                0.52768,                0.36346,                 1.2908,                 2.0381,                 1.7921,              0.0088912,              0.0088912,              0.0088912
                    115,                  1.085,                 2.4322,                 1.5651,                0.47985,                 0.5496,                 0.5258,                0.36275,                 1.2905,                  2.036,                 1.7916,              0.0088813,              0.0088813,              0.0088813
                    116,                 1.0922,                 2.4348,                 1.5743,                0.51753,                0.52535,                0.52554,                0.36104,                   1.29,                 2.0323,                 1.7897,              0.0088714,              0.0088714,              0.0088714
                    117,                 1.0918,                 2.4438,                 1.5742,                0.51796,                0.54024,                0.53089,                0.36574,                 1.2869,                 2.0314,                 1.7874,              0.0088615,              0.0088615,              0.0088615
                    118,                  1.088,                 2.4284,                 1.5689,                0.52079,                0.52615,                 0.5324,                0.36697,                 1.2866,                 2.0285,                 1.7865,              0.0088516,              0.0088516,              0.0088516
                    119,                 1.0826,                 2.4338,                 1.5697,                0.52081,                0.52374,                0.53094,                0.36606,                 1.2851,                 2.0284,                 1.7836,              0.0088417,              0.0088417,              0.0088417
                    120,                 1.0918,                 2.4064,                 1.5709,                0.52185,                0.52184,                0.53126,                0.36604,                 1.2864,                 2.0282,                 1.7839,              0.0088318,              0.0088318,              0.0088318
                    121,                 1.0916,                 2.4082,                 1.5676,                 0.5213,                0.52734,                0.53051,                0.36616,                 1.2855,                 2.0257,                 1.7832,              0.0088219,              0.0088219,              0.0088219
                    122,                 1.0862,                 2.4197,                 1.5686,                0.52691,                0.53056,                0.53138,                0.36738,                 1.2852,                 2.0236,                 1.7812,               0.008812,               0.008812,               0.008812
                    123,                 1.0831,                 2.3994,                 1.5623,                0.52743,                0.52922,                0.52996,                0.36627,                 1.2824,                 2.0204,                 1.7791,              0.0088021,              0.0088021,              0.0088021
                    124,                 1.0806,                 2.4014,                 1.5609,                0.52779,                 0.5311,                0.52822,                0.36642,                 1.2805,                 2.0182,                 1.7777,              0.0087922,              0.0087922,              0.0087922
                    125,                 1.0801,                 2.4026,                 1.5582,                0.52428,                0.52766,                0.52782,                0.36565,                 1.2796,                 2.0145,                  1.777,              0.0087823,              0.0087823,              0.0087823
                    126,                 1.0789,                 2.3956,                 1.5564,                0.52567,                0.52852,                0.52821,                0.36504,                 1.2779,                 2.0123,                 1.7767,              0.0087724,              0.0087724,              0.0087724
                    127,                   1.08,                 2.3815,                 1.5564,                0.52584,                0.53562,                0.53054,                0.36429,                 1.2812,                 2.0107,                 1.7794,              0.0087625,              0.0087625,              0.0087625
                    128,                 1.0793,                 2.3889,                 1.5599,                0.52706,                0.53893,                0.53515,                 0.3681,                 1.2766,                 2.0077,                 1.7757,              0.0087526,              0.0087526,              0.0087526
                    129,                 1.0811,                 2.3876,                 1.5561,                0.51408,                0.54464,                0.53419,                0.36828,                 1.2752,                 2.0067,                 1.7736,              0.0087427,              0.0087427,              0.0087427
                    130,                 1.0743,                 2.3853,                 1.5551,                0.51667,                0.54195,                0.53314,                0.36774,                 1.2747,                 2.0055,                 1.7736,              0.0087328,              0.0087328,              0.0087328
                    131,                 1.0789,                 2.3797,                 1.5576,                0.51451,                0.54587,                0.53301,                0.36959,                 1.2741,                 2.0056,                 1.7739,              0.0087229,              0.0087229,              0.0087229
                    132,                 1.0822,                 2.3622,                 1.5545,                0.51941,                0.53874,                0.53325,                0.37301,                 1.2723,                 2.0027,                 1.7733,               0.008713,               0.008713,               0.008713
                    133,                 1.0757,                 2.3614,                 1.5527,                0.51392,                0.53957,                0.53472,                0.37306,                 1.2715,                 2.0021,                 1.7723,              0.0087031,              0.0087031,              0.0087031
                    134,                 1.0813,                 2.3679,                 1.5593,                 0.5098,                0.54961,                0.53533,                0.37491,                 1.2702,                      2,                 1.7708,              0.0086932,              0.0086932,              0.0086932
                    135,                 1.0689,                 2.3497,                  1.547,                0.51059,                 0.5488,                0.53697,                0.37719,                 1.2698,                 1.9976,                 1.7709,              0.0086833,              0.0086833,              0.0086833
                    136,                 1.0762,                 2.3451,                 1.5514,                0.51187,                0.54872,                0.53684,                0.37563,                 1.2683,                 1.9956,                 1.7693,              0.0086734,              0.0086734,              0.0086734
                    137,                 1.0708,                  2.351,                 1.5556,                0.51198,                0.54854,                0.54707,                0.38384,                  1.268,                 1.9937,                 1.7684,              0.0086635,              0.0086635,              0.0086635
                    138,                 1.0736,                 2.3568,                 1.5516,                0.50607,                0.54692,                0.54659,                0.38368,                 1.2685,                  1.993,                 1.7683,              0.0086536,              0.0086536,              0.0086536
                    139,                 1.0746,                 2.3555,                 1.5551,                0.50695,                0.54228,                0.54603,                0.38454,                 1.2674,                 1.9935,                 1.7675,              0.0086437,              0.0086437,              0.0086437
                    140,                 1.0762,                 2.3341,                 1.5533,                0.50272,                0.55252,                0.54479,                0.38316,                 1.2674,                 1.9906,                 1.7683,              0.0086338,              0.0086338,              0.0086338
                    141,                 1.0688,                 2.3228,                 1.5503,                0.50505,                0.53823,                0.54944,                0.38406,                 1.2663,                 1.9908,                 1.7661,              0.0086239,              0.0086239,              0.0086239
                    142,                  1.075,                 2.3282,                 1.5503,                0.50444,                0.53921,                0.55068,                0.38415,                 1.2658,                 1.9888,                  1.765,               0.008614,               0.008614,               0.008614
                    143,                 1.0705,                 2.3333,                 1.5508,                0.50951,                0.54145,                0.55144,                0.38515,                 1.2664,                 1.9872,                 1.7649,              0.0086041,              0.0086041,              0.0086041
