                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1877,                 5.8283,                 4.1565,                0.67318,                0.01429,                0.00585,                 0.0027,                 2.9846,                 6.5448,                 4.0425,              0.0033308,              0.0033308,              0.0033308
                      2,                 2.5803,                  5.586,                 3.3349,                0.00144,                0.13881,                0.00898,                0.00362,                 2.3033,                  4.636,                  3.064,              0.0066575,              0.0066575,              0.0066575
                      3,                 1.8633,                 4.9623,                  2.447,                0.00342,                0.57976,                0.04225,                0.02246,                 1.9598,                 4.1905,                 2.6257,              0.0099776,              0.0099776,              0.0099776
                      4,                 1.6602,                 4.4565,                 2.1436,                0.68977,                0.06546,                0.12481,                0.07787,                 1.8079,                 3.8902,                 2.3929,              0.0099703,              0.0099703,              0.0099703
                      5,                  1.568,                  4.104,                 2.0181,                0.55206,                0.09225,                0.14903,                0.09431,                 1.8055,                 3.6843,                 2.3416,              0.0099703,              0.0099703,              0.0099703
                      6,                 1.5236,                 3.9021,                 1.9645,                0.61704,                0.12105,                0.20821,                0.13116,                 1.7464,                 3.4362,                 2.2338,              0.0099604,              0.0099604,              0.0099604
                      7,                 1.4789,                 3.7705,                 1.9109,                0.48657,                0.17985,                 0.2198,                0.12209,                 1.7896,                 3.3916,                 2.2491,              0.0099505,              0.0099505,              0.0099505
                      8,                 1.4404,                 3.6662,                  1.878,                  0.537,                 0.2199,                0.25583,                0.16376,                  1.656,                 3.2355,                 2.1356,              0.0099406,              0.0099406,              0.0099406
                      9,                 1.4138,                 3.5861,                 1.8469,                0.51017,                0.23793,                0.25248,                   0.16,                 1.6334,                 3.1699,                 2.0967,              0.0099307,              0.0099307,              0.0099307
                     10,                 1.3881,                 3.5112,                 1.8219,                0.55879,                0.20597,                0.24522,                   0.16,                 1.6155,                  3.191,                 2.0514,              0.0099208,              0.0099208,              0.0099208
                     11,                 1.3614,                 3.4392,                 1.7968,                0.51882,                0.24877,                0.26974,                0.16233,                 1.6014,                 3.0195,                 2.0277,              0.0099109,              0.0099109,              0.0099109
                     12,                 1.3497,                 3.4034,                 1.7822,                0.52462,                0.29206,                0.29161,                 0.1928,                 1.5171,                 3.0517,                 1.9314,               0.009901,               0.009901,               0.009901
                     13,                 1.3269,                 3.3337,                 1.7572,                0.55948,                0.23581,                0.28816,                0.19221,                 1.5282,                 2.9925,                 1.9445,              0.0098911,              0.0098911,              0.0098911
                     14,                   1.31,                 3.2846,                  1.742,                0.38979,                0.29079,                0.30142,                0.19457,                  1.507,                 2.8388,                 1.9042,              0.0098812,              0.0098812,              0.0098812
                     15,                 1.3056,                 3.2403,                 1.7321,                0.45212,                0.34615,                0.33859,                0.22479,                 1.4531,                 2.8532,                 1.9061,              0.0098713,              0.0098713,              0.0098713
