                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1132,                 7.2046,                 3.0102,                0.00069,                0.06531,                0.00252,                0.00155,                 1.6206,                 5.2979,                 2.2463,              0.0033329,              0.0033329,              0.0033329
                      2,                 1.4923,                 6.2812,                 2.0533,                0.00307,                0.30199,                0.02223,                0.01515,                 1.4046,                 4.6826,                 1.8884,              0.0060063,              0.0060063,              0.0060063
                      3,                  1.427,                 5.1855,                  1.936,                0.00437,                0.49554,                0.05124,                0.03868,                 1.3755,                 4.2826,                 1.8086,              0.0080196,              0.0080196,              0.0080196
                      4,                 1.3807,                 4.6323,                 1.8697,                0.88345,                0.02768,                0.07582,                0.05601,                 1.3104,                 3.9789,                 1.7272,                0.00703,                0.00703,                0.00703
                      5,                 1.3226,                 4.3602,                 1.8031,                0.83919,                0.03878,                0.09791,                0.07276,                 1.2687,                 3.8148,                 1.6832,                0.00703,                0.00703,                0.00703
                      6,                 1.2726,                 4.1468,                 1.7491,                0.78804,                0.05042,                 0.1139,                0.08456,                 1.2421,                 3.7058,                  1.654,                0.00604,                0.00604,                0.00604
                      7,                 1.2365,                 3.9783,                 1.7126,                0.73874,                0.06345,                0.12281,                0.09231,                 1.2303,                 3.6381,                 1.6386,                0.00505,                0.00505,                0.00505
                      8,                  1.204,                 3.8361,                 1.6783,                0.71043,                0.07337,                0.13147,                0.09903,                 1.2171,                 3.5823,                 1.6249,                0.00406,                0.00406,                0.00406
                      9,                 1.1735,                 3.6999,                 1.6501,                0.65934,                0.08251,                0.13909,                0.10506,                 1.2068,                  3.535,                 1.6134,                0.00307,                0.00307,                0.00307
                     10,                 1.1484,                 3.5742,                 1.6238,                0.60419,                0.09685,                0.14825,                0.11162,                 1.1963,                 3.4858,                 1.6023,                0.00208,                0.00208,                0.00208
